Months,Duration,Flights
1,9.8,12
2,21.32,30
3,24.47,16
4,12.17,10
5,27.98,21
6,28.2,20
7,45.43,23
8,29.08,18
9,15.23,14
10,9.15,8
11,6.55,5
12,3.73,5
